0,0.456521739,0
300,0.688888889,5
600,0.737704918,10
900,0.686440678,15
1200,0.803921569,20
1500,0.725,25
1800,0.733944954,30
2100,0.78358209,35
2400,0.756521739,40
2700,0.688,45
3000,0.702290076,50
3300,0.698275862,55
3600,0.73880597,60
3900,0.791304348,65
4200,0.743589744,70
4500,0.674796748,75
4800,0.769230769,80
5100,0.755555556,85
5400,0.713235294,90
5700,0.709923664,95
6000,0.777777778,100
6300,0.746153846,105
6600,0.752066116,110
6900,0.696969697,115
7200,0.689922481,120
7500,0.756302521,125
7800,0.721649485,130
8100,0.694915254,135
8400,0.730434783,140
8700,0.71875,145
9000,0.717948718,150
9300,0.791666667,155
9600,0.710280374,160
9900,0.720338983,165
10200,0.727272727,170
10500,0.79245283,175
10800,0.727272727,180
11100,0.752,185
11400,0.748031496,190
11700,0.754716981,195
12000,0.739495798,200
12300,0.702898551,205
12600,0.75,210
12900,0.713114754,215
13200,0.705426357,220
13500,0.762711864,225
13800,0.714285714,230
14100,0.704545455,235
14400,0.743801653,240
14700,0.713114754,245
15000,0.828571429,250
15300,0.807692308,255
15600,0.686440678,260
15900,0.768,265
16200,0.698412698,270
16500,0.695652174,275
16800,0.735042735,280
17100,0.765625,285
17400,0.724409449,290
17700,0.714285714,295
18000,0.709677419,300
18300,0.697674419,305
18600,0.710743802,310
18900,0.730434783,315
19200,0.771929825,320
19500,0.754098361,325
19800,0.778625954,330
20100,0.716666667,335
20400,0.746031746,340
20700,0.695652174,345
21000,0.725663717,350
21300,0.714285714,355
21600,0.708333333,360
21900,0.68503937,365
22200,0.8,370
22500,0.666666667,375
22800,0.70754717,380
23100,0.727941176,385
23400,0.785123967,390
23700,0.785714286,395
24000,0.6640625,400
24300,0.747747748,405
24600,0.675,410
24900,0.658333333,415
25200,0.6875,420
25500,0.732142857,425
25800,0.764227642,430
26100,0.759259259,435
26400,0.692913386,440
26700,0.7,445
